Date,Station,Category,Value
2009-01-05,Paya Lebar,Max Humidity,94.23
2009-01-25,Paya Lebar,Max Humidity,94.23
2009-01-19,Paya Lebar,Min Humidity,55.29
2009-01-06,Paya Lebar,Max Temperature,33.0
2009-01-16,Paya Lebar,Min Temperature,24.0
2009-01-17,Paya Lebar,Min Temperature,24.0
2009-01-18,Paya Lebar,Min Temperature,24.0
2009-01-19,Paya Lebar,Min Temperature,24.0
2009-01-20,Paya Lebar,Min Temperature,24.0
2009-01-21,Paya Lebar,Min Temperature,24.0
2009-01-22,Paya Lebar,Min Temperature,24.0
2009-02-24,Paya Lebar,Max Humidity,100.0
2009-02-25,Paya Lebar,Max Humidity,100.0
2009-02-28,Paya Lebar,Max Humidity,100.0
2009-02-18,Paya Lebar,Min Humidity,52.48
2009-02-13,Paya Lebar,Max Temperature,34.0
2009-02-15,Paya Lebar,Max Temperature,34.0
2009-02-02,Paya Lebar,Min Temperature,24.0
2009-02-06,Paya Lebar,Min Temperature,24.0
2009-02-07,Paya Lebar,Min Temperature,24.0
2009-02-24,Paya Lebar,Min Temperature,24.0
2009-02-25,Paya Lebar,Min Temperature,24.0
2009-03-01,Paya Lebar,Max Humidity,100.0
2009-03-02,Paya Lebar,Max Humidity,100.0
2009-03-04,Paya Lebar,Max Humidity,100.0
2009-03-05,Paya Lebar,Max Humidity,100.0
2009-03-06,Paya Lebar,Max Humidity,100.0
2009-03-08,Paya Lebar,Max Humidity,100.0
2009-03-16,Paya Lebar,Max Humidity,100.0
2009-03-24,Paya Lebar,Max Humidity,100.0
2009-03-12,Paya Lebar,Min Humidity,52.73
2009-03-06,Paya Lebar,Max Temperature,34.0
2009-03-08,Paya Lebar,Max Temperature,34.0
2009-03-12,Paya Lebar,Max Temperature,34.0
2009-03-14,Paya Lebar,Max Temperature,34.0
2009-03-18,Paya Lebar,Max Temperature,34.0
2009-03-23,Paya Lebar,Max Temperature,34.0
2009-03-28,Paya Lebar,Max Temperature,34.0
2009-03-29,Paya Lebar,Max Temperature,34.0
2009-03-03,Paya Lebar,Min Temperature,23.0
2009-04-05,Paya Lebar,Max Humidity,100.0
2009-04-10,Paya Lebar,Max Humidity,100.0
2009-04-21,Paya Lebar,Max Humidity,100.0
2009-04-28,Paya Lebar,Max Humidity,100.0
2009-04-29,Paya Lebar,Max Humidity,100.0
2009-04-19,Paya Lebar,Min Humidity,59.01
2009-04-02,Paya Lebar,Max Temperature,34.0
2009-04-03,Paya Lebar,Max Temperature,34.0
2009-04-04,Paya Lebar,Max Temperature,34.0
2009-04-10,Paya Lebar,Max Temperature,34.0
2009-04-11,Paya Lebar,Max Temperature,34.0
2009-04-17,Paya Lebar,Max Temperature,34.0
2009-04-18,Paya Lebar,Max Temperature,34.0
2009-04-19,Paya Lebar,Max Temperature,34.0
2009-04-22,Paya Lebar,Max Temperature,34.0
2009-04-23,Paya Lebar,Max Temperature,34.0
2009-04-24,Paya Lebar,Max Temperature,34.0
2009-04-25,Paya Lebar,Max Temperature,34.0
2009-04-05,Paya Lebar,Min Temperature,25.0
2009-04-13,Paya Lebar,Min Temperature,25.0
2009-04-15,Paya Lebar,Min Temperature,25.0
2009-04-17,Paya Lebar,Min Temperature,25.0
2009-04-21,Paya Lebar,Min Temperature,25.0
2009-04-28,Paya Lebar,Min Temperature,25.0
2009-05-09,Paya Lebar,Max Humidity,100.0
2009-05-10,Paya Lebar,Max Humidity,100.0
2009-05-14,Paya Lebar,Max Humidity,100.0
2009-05-15,Paya Lebar,Max Humidity,100.0
2009-05-19,Paya Lebar,Max Humidity,100.0
2009-05-30,Paya Lebar,Min Humidity,52.48
2009-05-20,Paya Lebar,Max Temperature,35.0
2009-05-06,Paya Lebar,Min Temperature,24.0
2009-05-10,Paya Lebar,Min Temperature,24.0
2009-05-18,Paya Lebar,Min Temperature,24.0
2009-06-13,Paya Lebar,Max Humidity,94.31
2009-06-01,Paya Lebar,Min Humidity,44.14
2009-06-01,Paya Lebar,Max Temperature,35.0
2009-06-03,Paya Lebar,Min Temperature,25.0
2009-06-16,Paya Lebar,Min Temperature,25.0
2009-06-29,Paya Lebar,Min Temperature,25.0
2009-06-30,Paya Lebar,Min Temperature,25.0
2009-07-05,Paya Lebar,Max Humidity,100.0
2009-07-08,Paya Lebar,Max Humidity,100.0
2009-07-10,Paya Lebar,Max Humidity,100.0
2009-07-27,Paya Lebar,Min Humidity,19.3
2009-07-09,Paya Lebar,Max Temperature,33.0
2009-07-20,Paya Lebar,Max Temperature,33.0
2009-07-21,Paya Lebar,Max Temperature,33.0
2009-07-23,Paya Lebar,Max Temperature,33.0
2009-07-28,Paya Lebar,Max Temperature,33.0
2009-07-05,Paya Lebar,Min Temperature,24.0
2009-07-15,Paya Lebar,Min Temperature,24.0
2009-07-22,Paya Lebar,Min Temperature,24.0
2009-07-24,Paya Lebar,Min Temperature,24.0
2009-07-27,Paya Lebar,Min Temperature,24.0
2009-08-08,Paya Lebar,Max Humidity,94.27
2009-08-29,Paya Lebar,Max Humidity,94.27
2009-08-31,Paya Lebar,Max Humidity,94.27
2009-08-06,Paya Lebar,Min Humidity,46.67
2009-08-06,Paya Lebar,Max Temperature,34.0
2009-08-12,Paya Lebar,Max Temperature,34.0
2009-08-10,Paya Lebar,Min Temperature,24.0
2009-08-21,Paya Lebar,Min Temperature,24.0
2009-08-25,Paya Lebar,Min Temperature,24.0
2009-08-27,Paya Lebar,Min Temperature,24.0
2009-08-28,Paya Lebar,Min Temperature,24.0
2009-08-30,Paya Lebar,Min Temperature,24.0
2009-09-19,Paya Lebar,Max Humidity,100.0
2009-09-27,Paya Lebar,Min Humidity,56.01
2009-09-27,Paya Lebar,Max Temperature,34.0
2009-09-01,Paya Lebar,Min Temperature,24.0
2009-09-02,Paya Lebar,Min Temperature,24.0
2009-09-19,Paya Lebar,Min Temperature,24.0
2009-10-29,Paya Lebar,Max Humidity,100.0
2009-10-30,Paya Lebar,Max Humidity,100.0
2009-10-31,Paya Lebar,Max Humidity,100.0
2009-10-09,Paya Lebar,Min Humidity,55.77
2009-10-07,Paya Lebar,Max Temperature,34.0
2009-10-09,Paya Lebar,Max Temperature,34.0
2009-10-17,Paya Lebar,Max Temperature,34.0
2009-10-10,Paya Lebar,Min Temperature,24.0
2009-10-31,Paya Lebar,Min Temperature,24.0
2009-11-05,Paya Lebar,Max Humidity,100.0
2009-11-06,Paya Lebar,Max Humidity,100.0
2009-11-12,Paya Lebar,Max Humidity,100.0
2009-11-13,Paya Lebar,Max Humidity,100.0
2009-11-14,Paya Lebar,Max Humidity,100.0
2009-11-18,Paya Lebar,Max Humidity,100.0
2009-11-19,Paya Lebar,Max Humidity,100.0
2009-11-21,Paya Lebar,Max Humidity,100.0
2009-11-28,Paya Lebar,Max Humidity,100.0
2009-11-25,Paya Lebar,Min Humidity,52.73
2009-11-26,Paya Lebar,Max Temperature,36.0
2009-11-13,Paya Lebar,Min Temperature,24.0
2009-11-14,Paya Lebar,Min Temperature,24.0
2009-11-19,Paya Lebar,Min Temperature,24.0
2009-12-02,Paya Lebar,Max Humidity,100.0
2009-12-03,Paya Lebar,Max Humidity,100.0
2009-12-04,Paya Lebar,Max Humidity,100.0
2009-12-05,Paya Lebar,Max Humidity,100.0
2009-12-08,Paya Lebar,Max Humidity,100.0
2009-12-11,Paya Lebar,Max Humidity,100.0
2009-12-17,Paya Lebar,Max Humidity,100.0
2009-12-22,Paya Lebar,Max Humidity,100.0
2009-12-24,Paya Lebar,Max Humidity,100.0
2009-12-27,Paya Lebar,Max Humidity,100.0
2009-12-16,Paya Lebar,Min Humidity,62.9
2009-12-15,Paya Lebar,Max Temperature,34.0
2009-12-18,Paya Lebar,Min Temperature,24.0
2019-01-18,Paya Lebar,Max Humidity,100.0
2019-01-04,Paya Lebar,Min Humidity,49.1
2019-01-01,Paya Lebar,Max Temperature,34.0
2019-01-02,Paya Lebar,Max Temperature,34.0
2019-01-05,Paya Lebar,Max Temperature,34.0
2019-01-17,Paya Lebar,Min Temperature,25.0
2019-01-18,Paya Lebar,Min Temperature,25.0
2019-02-18,Paya Lebar,Max Humidity,94.23
2019-02-20,Paya Lebar,Max Humidity,94.23
2019-02-11,Paya Lebar,Min Humidity,49.36
2019-02-12,Paya Lebar,Min Humidity,49.36
2019-02-25,Paya Lebar,Max Temperature,35.0
2019-02-18,Paya Lebar,Min Temperature,24.0
2019-03-11,Paya Lebar,Max Humidity,94.23
2019-03-12,Paya Lebar,Max Humidity,94.23
2019-03-21,Paya Lebar,Max Humidity,94.23
2019-03-18,Paya Lebar,Min Humidity,33.84
2019-03-08,Paya Lebar,Max Temperature,35.0
2019-03-12,Paya Lebar,Max Temperature,35.0
2019-03-13,Paya Lebar,Max Temperature,35.0
2019-03-15,Paya Lebar,Max Temperature,35.0
2019-03-18,Paya Lebar,Max Temperature,35.0
2019-03-19,Paya Lebar,Max Temperature,35.0
2019-03-21,Paya Lebar,Max Temperature,35.0
2019-03-22,Paya Lebar,Max Temperature,35.0
2019-03-26,Paya Lebar,Max Temperature,35.0
2019-03-27,Paya Lebar,Max Temperature,35.0
2019-03-11,Paya Lebar,Min Temperature,23.0
2019-04-03,Paya Lebar,Max Humidity,100.0
2019-04-26,Paya Lebar,Max Humidity,100.0
2019-04-27,Paya Lebar,Max Humidity,100.0
2019-04-23,Paya Lebar,Min Humidity,24.72
2019-04-17,Paya Lebar,Max Temperature,36.0
2019-04-03,Paya Lebar,Min Temperature,24.0
2019-05-03,Paya Lebar,Max Humidity,94.31
2019-05-04,Paya Lebar,Max Humidity,94.31
2019-05-14,Paya Lebar,Max Humidity,94.31
2019-05-15,Paya Lebar,Max Humidity,94.31
2019-05-06,Paya Lebar,Min Humidity,46.93
2019-05-06,Paya Lebar,Max Temperature,35.0
2019-05-07,Paya Lebar,Max Temperature,35.0
2019-05-09,Paya Lebar,Max Temperature,35.0
2019-05-10,Paya Lebar,Max Temperature,35.0
2019-05-08,Paya Lebar,Min Temperature,24.0
2019-05-10,Paya Lebar,Min Temperature,24.0
2019-06-07,Paya Lebar,Max Humidity,100.0
2019-06-12,Paya Lebar,Max Humidity,100.0
2019-06-02,Paya Lebar,Min Humidity,55.77
2019-06-20,Paya Lebar,Max Temperature,34.0
2019-06-22,Paya Lebar,Min Temperature,24.0
2019-07-09,Paya Lebar,Max Humidity,94.27
2019-07-25,Paya Lebar,Min Humidity,46.41
2019-07-01,Paya Lebar,Max Temperature,33.0
2019-07-02,Paya Lebar,Max Temperature,33.0
2019-07-04,Paya Lebar,Max Temperature,33.0
2019-07-06,Paya Lebar,Max Temperature,33.0
2019-07-07,Paya Lebar,Max Temperature,33.0
2019-07-11,Paya Lebar,Max Temperature,33.0
2019-07-12,Paya Lebar,Max Temperature,33.0
2019-07-13,Paya Lebar,Max Temperature,33.0
2019-07-14,Paya Lebar,Max Temperature,33.0
2019-07-19,Paya Lebar,Max Temperature,33.0
2019-07-20,Paya Lebar,Max Temperature,33.0
2019-07-21,Paya Lebar,Max Temperature,33.0
2019-07-25,Paya Lebar,Max Temperature,33.0
2019-07-27,Paya Lebar,Max Temperature,33.0
2019-07-28,Paya Lebar,Max Temperature,33.0
2019-07-29,Paya Lebar,Max Temperature,33.0
2019-07-15,Paya Lebar,Min Temperature,24.0
2019-08-30,Paya Lebar,Max Humidity,94.27
2019-08-19,Paya Lebar,Min Humidity,46.41
2019-08-23,Paya Lebar,Min Humidity,46.41
2019-08-24,Paya Lebar,Min Humidity,46.41
2019-08-01,Paya Lebar,Max Temperature,33.0
2019-08-02,Paya Lebar,Max Temperature,33.0
2019-08-03,Paya Lebar,Max Temperature,33.0
2019-08-12,Paya Lebar,Max Temperature,33.0
2019-08-13,Paya Lebar,Max Temperature,33.0
2019-08-14,Paya Lebar,Max Temperature,33.0
2019-08-15,Paya Lebar,Max Temperature,33.0
2019-08-16,Paya Lebar,Max Temperature,33.0
2019-08-18,Paya Lebar,Max Temperature,33.0
2019-08-19,Paya Lebar,Max Temperature,33.0
2019-08-20,Paya Lebar,Max Temperature,33.0
2019-08-21,Paya Lebar,Max Temperature,33.0
2019-08-22,Paya Lebar,Max Temperature,33.0
2019-08-23,Paya Lebar,Max Temperature,33.0
2019-08-24,Paya Lebar,Max Temperature,33.0
2019-08-26,Paya Lebar,Max Temperature,33.0
2019-08-26,Paya Lebar,Min Temperature,26.0
2019-08-30,Paya Lebar,Min Temperature,26.0
2019-09-30,Paya Lebar,Max Humidity,94.27
2019-09-08,Paya Lebar,Min Humidity,49.36
2019-09-11,Paya Lebar,Min Humidity,49.36
2019-09-16,Paya Lebar,Min Humidity,49.36
2019-09-21,Paya Lebar,Min Humidity,49.36
2019-09-24,Paya Lebar,Max Temperature,35.0
2019-09-25,Paya Lebar,Min Temperature,25.0
2019-09-30,Paya Lebar,Min Temperature,25.0
2019-10-28,Paya Lebar,Max Humidity,100.0
2019-10-14,Paya Lebar,Min Humidity,39.0
2019-10-11,Paya Lebar,Max Temperature,35.0
2019-10-13,Paya Lebar,Max Temperature,35.0
2019-10-14,Paya Lebar,Max Temperature,35.0
2019-10-16,Paya Lebar,Max Temperature,35.0
2019-10-25,Paya Lebar,Max Temperature,35.0
2019-10-27,Paya Lebar,Min Temperature,8.0
2019-11-29,Paya Lebar,Max Humidity,100.0
2019-11-10,Paya Lebar,Min Humidity,44.14
2019-11-09,Paya Lebar,Max Temperature,35.0
2019-11-10,Paya Lebar,Max Temperature,35.0
2019-11-08,Paya Lebar,Min Temperature,24.0
2019-12-09,Paya Lebar,Max Humidity,100.0
2019-12-11,Paya Lebar,Max Humidity,100.0
2019-12-13,Paya Lebar,Max Humidity,100.0
2019-12-14,Paya Lebar,Max Humidity,100.0
2019-12-15,Paya Lebar,Max Humidity,100.0
2019-12-18,Paya Lebar,Max Humidity,100.0
2019-12-27,Paya Lebar,Min Humidity,52.23
2019-12-01,Paya Lebar,Max Temperature,34.0
2019-12-09,Paya Lebar,Min Temperature,24.0
2019-12-10,Paya Lebar,Min Temperature,24.0
2019-12-11,Paya Lebar,Min Temperature,24.0
2019-12-12,Paya Lebar,Min Temperature,24.0
2019-12-14,Paya Lebar,Min Temperature,24.0
2019-12-15,Paya Lebar,Min Temperature,24.0
2019-12-16,Paya Lebar,Min Temperature,24.0
